review_id,section,claim_id,claim_text,citation_author,citation_year,source_pdf_path,verdict,rationale,evidence_span,required_fix,risk_flags,page_anchor,proposed_rewrite,rewrite_notes,rewrite_flags
2_1,unknown,b92e556f,"Strengthening M&E systems goes beyond technical capacity alone: it involves fostering a culture of learning, ensuring political support, and embedding M&E within policy and governance processes to enhance accountability and evidence-based decision-making (CLEAR-AA, 2020).",CLEAR-AA,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,,,,,,,,,
2_1,unknown,fa5b3196,"Similarly, Chirau, Dlakavu, and Masilela (2022) describe national M&E systems as “the collection of frameworks, capacities, and institutional arrangements for conducting and using M&E in government” (p. 2).",Masilela,2022,,,,,,,,,,
2_1,unknown,a12e6ac7,"Where these elements align, M&E becomes an integral part of governance, thus strengthening the system over time (Kanyamuna, 2021).",Kanyamuna,2021,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,,,,,,,,,
2_1,unknown,d93a152f,"A recurring concept across the literature is “institutionalization” of M&E, sometimes used synonymously with “M&E systems strengthening.” For instance, Makadzange (2022) draws on the International Atlas of Evaluation Framework to discuss “fully institutionalised M&E systems,” pointing to the need for legal mandates, pervasive practice, and parliamentary or legislative support.",Makadzange,2022,pilot_inputs/sources_pdf/Makadzange_2022.pdf,,,,,,,,,
2_1,unknown,dbc2c05f,"Such an environment often requires sufficient funding, leadership commitment, and integration with existing governance structures (Matsiliza, 2019).",Matsiliza,2019,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,,,,,,,,,
2_1,unknown,58e671ca,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",CLEAR-AA,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,,,,,,,,,
2_1,unknown,fcf65fc3,"A prominent theme across sources is the notion that capacity building must occur at multiple levels – micro (individual), meso (institutional), and macro (system/national) – to enable genuine and lasting M&E systems strengthening (CLEAR-AA, 2020; Masvaure & Chirau, 2020).",Masvaure & Chirau,2020,pilot_inputs/sources_pdf/CLEAR_AA_2020.pdf,,,,,,,,,
2_1,unknown,692c0d39,"At the individual level, building evaluators’ and policymakers’ technical skills is critical; however, as Stewart (2015) argues, one-off trainings are not sufficient.",Stewart,2015,pilot_inputs/sources_pdf/Stewart_2015.pdf,,,,,,,,,
2_1,unknown,d4aaf06a,"Process use – where active participation in evaluations fosters organizational learning – also helps embed a culture of inquiry (Alkin & King, 2016).",Alkin & King,2016,pilot_inputs/sources_pdf/Alkin_2016.pdf,,,,,,,,,
2_1,unknown,40d49d70,"As pointed out by Alkin and King (2017), stakeholder engagement and evaluator credibility can be decisive factors in whether institutions adopt M&E findings.",Alkin and King,2017,pilot_inputs/sources_pdf/Alkin_2016.pdf,,,,,,,,,
2_1,unknown,9bbbcda3,"Finally, at the macro or system-wide level, national M&E policies, legal mandates, and budget allocations form the backbone of a sustainable M&E system (Chirau et al., 2022).",Chirau et al.,2022,pilot_inputs/sources_pdf/Chirau_2020.pdf,,,,,,,,,
2_1,unknown,843f2ae1,"For example, Kanyamuna (2021) underscores the value of a whole-of-government approach, in which standardized indicators and integrated national frameworks ensure that data are comparable across ministries and feed into a shared platform for evidence-based policy.",Kanyamuna,2021,pilot_inputs/sources_pdf/Kanyamuna_2021.pdf,,,,,,,,,
2_1,unknown,e2ec7769,"Country-led approaches further emphasize that local contexts, rather than donor imperatives, should dictate the focus and structure of M&E system interventions (Chirau, Masilela, & Dlakavu, 2020).",Dlakavu,2020,pilot_inputs/sources_pdf/Chirau_2020.pdf,,,,,,,,,
2_1,unknown,2ef64f8a,"Another cornerstone of M&E systems strengthening lies in formalizing M&E within governance structures, often referred to as “institutionalization.” This process includes legal or policy mandates requiring government agencies to not only collect data but also use it systematically in planning and budgeting (Matsiliza, 2019).",Matsiliza,2019,pilot_inputs/sources_pdf/Matsiliza_2019.pdf,,,,,,,,,
